link,tag,importance_score
https://www.cnn.com/2024/08/22/cnn10/ten-content-fri-8-23/index.html,US Economic Outlook,8.5
https://www.cnn.com/business/live-news/jobs-report-june-07-05-24/index.html,US Economic Outlook,8.5
https://www.cnbc.com/2024/08/23/fed-powell-lower-interest-rates-investing.html,US Economic Outlook,8.5
https://www.cnbc.com/2024/08/23/fed-chair-powell-indicates-interest-rate-cuts-ahead-the-time-has-come-for-policy-to-adjust.html,US Economic Outlook,8.5
https://www.cnbc.com/2024/08/23/us-bonds-treasury-yields-in-focus-amid-powells-jackson-hole-speech.html,US Economic Outlook,8.5
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-06-17-24/index.html,Israel-Hamas Conflict,9.0
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-06-13-24/index.html,Israel-Hamas Conflict,9.0
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-06-12-24-intl/index.html,Israel-Hamas Conflict,9.0
https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-06-10-24/index.html,Israel-Hamas Conflict,9.0
https://www.investing.com/news/world-news/israeli-military-says-jets-striking-in-lebanon-3586097,Israel-Hamas Conflict,9.0
https://www.cnbc.com/2024/08/26/oil-to-remain-elevated-as-middle-east-tensions-threaten-a-wider-conflict.html,Geopolitical Tensions,8.0
https://www.cnbc.com/2024/08/26/china-slams-us-for-placing-some-chinese-firms-on-export-control-list.html,Geopolitical Tensions,8.0
https://www.cnbc.com/2024/08/23/meta-says-whatsapp-accounts-tied-to-iran-hackers-targeted-biden-trump.html,Geopolitical Tensions,8.0
https://www.cnbc.com/2024/08/26/teslas-optimus-faces-humanoid-competition-at-beijing-robot-conference.html,Technological Advancements,7.5
https://www.cnn.com/business/live-news/apple-wwdc-keynote-06-10-24/index.html,Technological Advancements,7.5
https://www.cnbc.com/2024/08/25/trump-elon-musk-white-house-cabinet-election-republicans.html,US Political Developments,7.0
https://www.cnbc.com/2024/08/23/meta-says-whatsapp-accounts-tied-to-iran-hackers-targeted-biden-trump.html,US Political Developments,7.0
